,t,t_p,U,U_p,W,W_p,cohen_d,AUROC,corr,corr_p,mut_info
0__label.0,56.704926914538895,8.389581075337756e-293,7127613.0,1.246872014286312e-254,-61.735435008383,0.0,-1.3623846914836066,0.900876240715371,-0.2801513386477582,2.2596292545069233e-235,0.06537630785128479
0__label.1,43.519013748096356,0.0,24040498.5,1.181413107015531e-162,-31.72101766755495,7.973012720079387e-221,-0.624417609559003,0.6475634167334082,-0.2782937717380473,3.669830355905611e-232,0.1720497057959134
0__label.2,2.6839376663761256,0.007373700589571276,3886304.0,1.0753351127516196e-06,8.504705369544688,1.8205734798356828e-17,-0.04949157977681068,0.5546222378080785,-0.011132961868258691,0.20206188188166643,0.0459821084524763
0__label.3,63.28149361139459,0.0,9707592.5,4.634353803945609e-254,-65.46409044464826,0.0,-1.0372484587369253,0.8291744038457267,-0.26091996926905064,2.5056245515511153e-203,0.07232672639814486
0__label.4,-110.42311377457496,0.0,2008362.5,0.0,159.53510904310724,0.0,2.14358494677659,0.9268686991168295,0.6500647703448312,0.0,0.23426038932439464
0__label.5,-1.2486765965682973,0.2118227081682953,17438291.5,0.029848309395929355,2.1414531157931194,0.032237515476825226,0.023582016560076746,0.5120204305498423,0.010735178259299274,0.21865388137212327,0.02882232935477469
0__label.6,6.637242334828067,1.5911107426122e-10,1773433.0,0.03695663441722205,-2.9711297608763436,0.002967063870053079,-0.2451433591664197,0.5380143411191364,-0.03387532509567895,0.00010330913264163797,0.005977169596696141
1__label.0,-19.82300029634287,3.056113752900109e-71,2667569.5,1.3549932380553071e-43,20.436338709929032,7.948295625596222e-93,0.5575535692053348,0.6628394410573384,0.11859125814122773,2.4191520978439854e-42,0.019145400694449366
1__label.1,116.5449361215739,0.0,34816476.0,0.0,-176.57342532933137,0.0,-2.121732915266559,0.9378289787616803,-0.701568880217089,0.0,0.36152632546408636
1__label.2,-52.500070934780155,1.5840264183057047e-279,1106424.0,1.737966159355819e-243,81.52213265607159,0.0,1.3308350385591492,0.8732017245291581,0.2868076323733702,4.402591540055668e-247,0.059517404147618524
1__label.3,-31.67628927084,1.4873742241608313e-164,3219590.5,8.654495567190053e-120,35.112036937236276,4.416119297393312e-270,0.7543459336976758,0.7249985479443162,0.19287393433428213,2.9512087801664286e-110,0.032363564747369455
