feature_name,user,inferred,reason
0,,cont,All values are not integers and convert to float
1,,cont,All values are not integers and convert to float
10,,cont,All values are not integers and convert to float
100,,cont,All values are not integers and convert to float
101,,cont,All values are not integers and convert to float
102,,cont,All values are not integers and convert to float
103,,cont,All values are not integers and convert to float
104,,cont,All values are not integers and convert to float
105,,cont,All values are not integers and convert to float
106,,cont,All values are not integers and convert to float
107,,cont,All values are not integers and convert to float
108,,cont,All values are not integers and convert to float
109,,cont,All values are not integers and convert to float
11,,cont,All values are not integers and convert to float
110,,cont,All values are not integers and convert to float
111,,cont,All values are not integers and convert to float
112,,cont,All values are not integers and convert to float
113,,cont,All values are not integers and convert to float
114,,cont,All values are not integers and convert to float
115,,cont,All values are not integers and convert to float
116,,cont,All values are not integers and convert to float
117,,cont,All values are not integers and convert to float
118,,cont,All values are not integers and convert to float
119,,cont,All values are not integers and convert to float
12,,cont,All values are not integers and convert to float
120,,cont,All values are not integers and convert to float
121,,cont,All values are not integers and convert to float
122,,cont,All values are not integers and convert to float
123,,cont,All values are not integers and convert to float
124,,cont,All values are not integers and convert to float
125,,cont,All values are not integers and convert to float
126,,cont,All values are not integers and convert to float
127,,cont,All values are not integers and convert to float
128,,cont,All values are not integers and convert to float
129,,cont,All values are not integers and convert to float
13,,cont,All values are not integers and convert to float
130,,cont,All values are not integers and convert to float
131,,cont,All values are not integers and convert to float
132,,cont,All values are not integers and convert to float
133,,cont,All values are not integers and convert to float
134,,cont,All values are not integers and convert to float
135,,cont,All values are not integers and convert to float
136,,cont,All values are not integers and convert to float
137,,cont,All values are not integers and convert to float
138,,cont,All values are not integers and convert to float
139,,cont,All values are not integers and convert to float
14,,cont,All values are not integers and convert to float
140,,cont,All values are not integers and convert to float
141,,cont,All values are not integers and convert to float
142,,cont,All values are not integers and convert to float
143,,cont,All values are not integers and convert to float
144,,cont,All values are not integers and convert to float
145,,cont,All values are not integers and convert to float
146,,cont,All values are not integers and convert to float
147,,cont,All values are not integers and convert to float
148,,cont,All values are not integers and convert to float
149,,cont,All values are not integers and convert to float
15,,cont,All values are not integers and convert to float
150,,cont,All values are not integers and convert to float
151,,cont,All values are not integers and convert to float
152,,cont,All values are not integers and convert to float
153,,cont,All values are not integers and convert to float
154,,cont,All values are not integers and convert to float
155,,cont,All values are not integers and convert to float
156,,cont,All values are not integers and convert to float
157,,cont,All values are not integers and convert to float
158,,cont,All values are not integers and convert to float
159,,cont,All values are not integers and convert to float
16,,cont,All values are not integers and convert to float
160,,cont,All values are not integers and convert to float
161,,cont,All values are not integers and convert to float
162,,cont,All values are not integers and convert to float
163,,cont,All values are not integers and convert to float
164,,cont,All values are not integers and convert to float
165,,cont,All values are not integers and convert to float
166,,cont,All values are not integers and convert to float
167,,cont,All values are not integers and convert to float
168,,cont,All values are not integers and convert to float
169,,cont,All values are not integers and convert to float
17,,cont,All values are not integers and convert to float
170,,cont,All values are not integers and convert to float
171,,cont,All values are not integers and convert to float
172,,cont,All values are not integers and convert to float
173,,cont,All values are not integers and convert to float
174,,cont,All values are not integers and convert to float
175,,cont,All values are not integers and convert to float
